run_id,scenario_id,scenario_name,severity,threat_type,engine,total_ms,status,confidence,timestamp
"run-20260221-203010-6839",D4,"Ransomware Simulation",5,"Unknown",none,6,processed,0,2026-02-21T20:32:39.536486+00:00
"run-20260221-203010-6839",A10,"DALI Broadcast Shutdown",5,"Unknown",none,14,processed,0,2026-02-21T20:32:41.550853+00:00
"run-20260221-203010-6839",D7,"Log Tampering",5,"Unknown",none,11,processed,0,2026-02-21T20:32:43.562460+00:00
"run-20260221-203010-6839",L1,"Internal Network Scan",5,"Unknown",none,6,processed,0,2026-02-21T20:32:43.568686+00:00
"run-20260221-203010-6839",S4,"Default Credentials",5,"Unknown",none,14,processed,0,2026-02-21T20:32:45.583234+00:00
"run-20260221-203010-6839",C1,"Reverse Shell Spawn",5,"Unknown",none,15,processed,0,2026-02-21T20:32:47.598947+00:00
"run-20260221-203010-6839",C2,"Cryptominer Deployment",5,"Unknown",none,13,processed,0,2026-02-21T20:32:49.612432+00:00
"run-20260221-203010-6839",N1,"TCP SYN Flood",5,"Unknown",none,11,processed,0,2026-02-21T20:32:51.624392+00:00
"run-20260221-203010-6839",N2,"UDP Amplification (NTP)",5,"Unknown",none,10,processed,0,2026-02-21T20:32:53.634289+00:00
"run-20260221-203010-6839",I6,"Modbus Function Code Scan",5,"Unknown",none,6,processed,0,2026-02-21T20:32:53.640373+00:00
"run-20260221-203010-6839",I5,"Modbus Coil Write Attack",5,"Unknown",none,11,processed,0,2026-02-21T20:32:55.651547+00:00
"run-20260221-203010-6839",D3,"Environmental Data Tampering",5,"Unknown",none,12,processed,0,2026-02-21T20:32:57.663748+00:00
"run-20260221-203010-6839",A10,"DALI Broadcast Shutdown",5,"Unknown",none,15,processed,0,2026-02-21T20:32:59.679548+00:00
"run-20260221-203010-6839",I8,"DALI-2 Dimming Attack",5,"Unknown",none,14,processed,0,2026-02-21T20:33:01.695074+00:00
"run-20260221-203010-6839",A1,"SQL Injection (Classic)",5,"Unknown",none,7,processed,0,2026-02-21T20:33:01.702992+00:00
"run-20260221-203010-6839",S3,"JWT None Algorithm",5,"Unknown",none,9,processed,0,2026-02-21T20:33:03.712910+00:00
"run-20260221-203010-6839",A8,"FHIR Resource Manipulation",5,"Unknown",none,12,processed,0,2026-02-21T20:33:05.725471+00:00
"run-20260221-203010-6839",D8,"FHIR Bundle Injection",5,"Unknown",none,12,processed,0,2026-02-21T20:33:07.737296+00:00
"run-20260221-203010-6839",I10,"FHIR Resource Deletion",5,"Unknown",none,14,processed,0,2026-02-21T20:33:09.751619+00:00
